Title,Rating,Rating Number,Review,Price,Store,Categories,Processor,Hard Drive,Graphics Coprocessor,Operating System,Item Weight,Product Dimensions,Color,Number of Processors,Memory Storage Capacity,Screen Size,RAM Memory Installed Size,CPU Model
Intel Core i5-4690K Processor 3.5 LGA 1150 BX80646I54690K (Renewed),4.1,13,"4 cores, 4 threads, Intel HD Graphics 4600 (1200 MHz), Intel Turbo Boost Technology 2.0, Dynamic Acceleration/Turbo Boost, 6MB Intel Smart Cache",None,Amazon Renewed,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",3.5 GHz core_i5,,,,11.2 ounces,4.41 x 3.11 x 4.61 inches,,4,,,,Core i5
"Intel. Imsourcing Media Dh77df Desktop Motherboard . Intel H77 Express Chipset . Socket H2 Lga. 1155 . 1 Pack . Mini Itx . 1 X Processor Support . 16 Gb Ddr3 Sdram Maximum Ram . Serial Ata/600, Serial Ata/300 Raid Supported Controller . Cpu Dependent Video . 1 X Pcie X16 Slot . 2 X Usb 3.0 Port . Hdmi ""Product Type: Electronic Components/Motherboards""",2.2,3,"Electronic Components, Motherboards",199.01,Unknown,"Electronics, Computers & Accessories, Computer Components, Internal Components, Motherboards",,,,,1 pounds,,,,16 GB,,,Core i5
"Intel NUC7I5BNH Tall Mini Desktop - 7th Gen Intel Core i5-7260U Dual-Core Processor up to 3.40 GHz, 8GB Memory, 256GB SSD, Intel Iris Plus Graphics 640, Windows 10 Pro",4.7,4,"【Upgraded】 Seal is opened for Hardware/Software upgrade only to enhance performance. No Display ; 802.11ac Wifi, Bluetooth 4.2, Ethernet LAN (RJ-45), No Webcam, 7th Gen Intel Core i5-7260U 2.20GHz Processor (upto 3.40 GHz, 4MB Cache, 2-Cores) ; Intel Iris Plus 640 Integrated Graphics, 【High Speed and Multitasking】 8GB DDR4 SODIMM RAM; ; Black Color, 256GB PCIe NVMe SSD; 4 USB 3.0, 1 HDMI, Thunderbolt3 (Type-C), Headphone/Microphone Combo Jack., Windows 10 Pro, 1 Year Manufacturer warranty from GreatPriceTech (Professionally upgraded by GreatPriceTech)",None,Intel,"Electronics, Computers & Accessories, Computers & Tablets, Desktops, Minis",2.2 GHz core_i5,256 GB,Integrated Graphics,Windows 10 Pro,2.5 pounds,4.5 x 4.5 x 2 inches,Black,2,256 GB,,8 GB,Core i5
"Intel Core i3-3220 Processor (3M Cache, 3.30 GHz) BX80637i33220 (Renewed)",4.2,34,"Process Type: Intel Core i3 Processor i3-3220, Core Count: 2, Clock Speed: 3.3 GHz, Intel Smart Cache: 3 MB, Max Memory Bandwidth: 25.6 GB/s, Socket: LGA1155",24.99,Amazon Renewed,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",,,,,0.81 ounces,9.5 x 5.5 x 5.75 inches,,,,,,Core i3
Intel Core I5 I5-460m 2.53 Ghz Processor - Dual-core 512 Kb L2 - 3 Mb L3 - Socket Pga-988 - Tray,4.4,5,,129.95,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",,,,,,,,,,,,Core i5
Intel BV80605001905AI Intel Core i7 Processor i7-870 2.93GHz 2.5GT-s 8MB LGA 1156 CPU44; OEM (Renewed),3.8,18,,None,Amazon Renewed,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",2.93 GHz core_i7,,,,0.8 ounces,,,4,,,,Core i7
Intel Core i9-9960X X-Series Tray,2.8,3,"Processor only - non-retail Packaging Intel Core i9-9960x X-Series Processor (22M Cache, up to 4.50 GHz) fc-lga14a, tray",764.32,Intel,"Electronics, Computers & Accessories, Computer Components, Internal Components, CPU Processors",3.1 GHz core_i9,,,,4.8 ounces,16.8 x 10.5 x 9.6 inches,,16,,,,Core i9
Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0 GHz Turbo unlocked LGA1151 300 Series 95W with MSI 9th / 8th Gen On Board Graphics ATX Gaming Motherboard,1,1,"8 Cores / 16 Threads, 3.60 GHz up to 5.00 GHz / 16 MB Cache, Compatible only with Motherboards based on Intel 300 Series Chipsets, Supports Intel Core 9000 Series 9th and 8th Gen Intel Core/Pentium Gold/Celeron processors for LGA 1151 socket, Supports DDR4 Memory, MULTI-GPU: Supports 2-Way NVIDIA SLI & 3-Way AMD Crossfire",None,msi,"Electronics, Computers & Accessories, Computer Components, Internal Components",5 GHz core_i9,,,,,,,8,16 MB,,,Core i9
"Intel NUC11PAHi7 Mini Desktop Bundle with High Performance Docztorm Dock i7-1165G7 64GB RAM, 1TB PCIe SSD, Win 10 Pro",2.8,2,"【Upgraded】 Seal is opened for Hardware/Software upgrade only to enhance performance. No Display ; Wi-Fi 6 AX201 Wifi, Bluetooth 5.2, Ethernet LAN (RJ-45), No Webcam, ., 【Powerful Performance with Intel Core i7-1165G7 Quad Core】 11th Gen Intel Core i7-1165G7 2.80GHz Processor (upto 4.7 GHz, 12MB Cache, 4-Cores) ; Integrated Graphics Integrated Graphics, ., 【High Speed and Multitasking】 64GB DDR4 SODIMM; 120W Power Supply; Black Color, ., 【Enormous Storage】 1TB PCIe NVMe SSD; 1 HDMI, 1 mini Display Port, 2 Thunderbolt 3 (Type-C), SD Reader, No Optical Drive, Headphone/Microphone Combo Jack., Windows 10 Pro., 1 Year Manufacturer from GreatPriceTech (Professionally upgraded by GreatPriceTech), Includes Dockztorm USB Hub(Special Edition Portable Docztorm Data Hub;Super Speedy Data Syn Rate upto 5Gbps), Item Weight : 1.21 pounds, System ram type: ddr4_sdram",774,Intel,,2.8 GHz intel_core_i7_1165g7,1 TB SSD,,Windows 10 Pro,,4.6 x 4.41 x 2.01 inches,Black,4,1 TB,,64 GB,Intel Core i7-1165G7
Intel NUC 11 Pro NUC11TNHi50L Barebone System - Intel - Socket BGA-1449-1 x Processor SupportIntel Core i5 11th Gen i5-1135G7 Quad-core (4 Core) - 64 GB DDR4 SDRAM DDR4-3200/PC4-25600 Maximum RAM S,4.8,3,"Number of Processors Supported: 1, Processor Socket: Socket BGA-1449, Processor Manufacturer: Intel, Processor Type: Core i5, Processor Generation: 11th Gen",492.7,Intel,"Electronics, Computers & Accessories, Computers & Tablets, Desktops, Minis",2.4 GHz core_i5,,,Windows 10 Pro,2.8 pounds,5 x 4 x 2 inches,Black,4,64 GB,2.1 Inches,64 GB,Core i5
